;Mia;Horvat;mhorvat@ingenii.hr;2018-02-28;2;1;1
;Sara;Kovačević;skovacevic@ingenii.hr;2019-11-30;3;1;1
;Nika;Babić;nbabic@ingenii.hr;2015-08-23;3;1;1
;Lana;Marić;lmaric@ingenii.hr;2014-02-13;3;1;1
;Elena;Jurić;ejuric@ingenii.hr;2010-02-13;4;1;1
;Eva;Novak;enovak@ingenii.hr;2010-07-19;5;1;1
;Petra;Kovačić;pkovacic@ingenii.hr;2016-12-25;4;1;1
;Iva;Knežević;iknezevic@ingenii.hr;2014-06-28;3;1;1
;Mila;Vuković;mvukovic@ingenii.hr;2014-09-22;3;1;1
;Klara;Marković;kmarkovic@ingenii.hr;2017-06-28;4;2;1
;Tena;Matić;tmatic@ingenii.hr;2012-05-22;2;2;1
;Leona;Petrović;lpetrovic@ingenii.hr;2015-11-26;5;2;1
;Lorena;Tomić;ltomic@ingenii.hr;2013-10-29;3;2;1
;Tia;Pavlović;tpavlovic@ingenii.hr;2015-07-05;4;2;1
;Lena;Kovač;lkovac@ingenii.hr;2017-10-27;4;2;1
;Katarina;Božić;kbozic@ingenii.hr;2015-04-15;3;2;1
;Ena;Grgić;egrgic@ingenii.hr;2015-06-10;3;2;1
;Bruna;Blažević;bblazevic@ingenii.hr;2014-10-03;5;2;1
;Lota;Perić;lperic@ingenii.hr;2017-11-09;3;2;1
;Una;Pavić;upavic@ingenii.hr;2018-08-21;4;3;1
;Korina;Radić;kradic@ingenii.hr;2013-06-26;2;3;1
;Greta;Šarić;gsaric@ingenii.hr;2018-04-18;3;3;1
;Luna;Lovrić;llovric@ingenii.hr;2016-09-05;3;3;1
;Gabriela;Filipović;gfilipovic@ingenii.hr;2014-04-20;5;3;1
;Barbara;Vidović;bvidovic@ingenii.hr;2010-12-02;4;3;1
;Iris;Jukić;ijukic@ingenii.hr;2010-12-28;3;3;1
;Tea;Bošnjak;tbosnjak@ingenii.hr;2013-09-24;3;3;1
;Anja;Perković;aperkovic@ingenii.hr;2011-08-30;4;3;1
;Gabrijela;Popović;gpopovic@ingenii.hr;2016-07-08;3;3;1
;Emma;Nikolić;enikolic@ingenii.hr;2013-01-10;4;4;1
;Sofija;Šimić;ssimic@ingenii.hr;2016-08-21;2;4;1
;Tonka;Barišić;tbarisic@ingenii.hr;2015-01-26;3;4;1
;Maja;Bašić;mbasic@ingenii.hr;2019-01-22;3;4;1
;Doris;Mandić;dmandic@ingenii.hr;2010-11-21;3;4;1
;Nicole;Klarić;nklaric@ingenii.hr;2010-05-24;4;4;1
;Nikol;Živković;nzivkovic@ingenii.hr;2019-05-14;5;4;1
;Noemi;Lončar;nloncar@ingenii.hr;2013-06-09;3;4;1
;Antea;Martinović;amartinovic@ingenii.hr;2011-01-26;3;4;1
;Ines;Barić;ibaric@ingenii.hr;2010-04-13;3;4;1
;Paola;Brkić;pbrkic@ingenii.hr;2012-04-15;4;5;1
;Anđela;Galić;agalic@ingenii.hr;2015-10-05;2;5;1
;Julia;Jurković;jjurkovic@ingenii.hr;2018-04-11;4;5;1
;Kaja;Bilić;kbilic@ingenii.hr;2014-01-28;3;5;1
;Cvita;Kos;ckos@ingenii.hr;2017-04-06;3;5;1
;Ivona;Stanić;istanic@ingenii.hr;2010-02-28;4;5;1
;Martina;Lukić;mlukic@ingenii.hr;2013-03-05;3;5;1
;Emili;Matijević;ematijevic@ingenii.hr;2016-12-24;3;5;1
;Nola;Matković;nmatkovic@ingenii.hr;2015-03-15;5;5;1
;Emily;Kralj;ekralj@ingenii.hr;2015-05-18;4;5;1
;Leda;Janković;ljankovic@ingenii.hr;2017-07-02;4;6;1
;David;Novosel;dnovosel@ingenii.hr;2018-10-01;2;6;1
;Petar;Jelić;pjelic@ingenii.hr;2015-03-21;3;6;1
;Mihael;Ćosić;mcosic@ingenii.hr;2015-04-09;3;6;1
;Marko;Miletić;mmiletic@ingenii.hr;2013-01-11;5;6;1
;Fran;Jurišić;fjurisic@ingenii.hr;2019-12-17;4;6;1
;Josip;Ivanović;jivanovic@ingenii.hr;2019-11-13;4;6;1
;Toma;Katić;tkatic@ingenii.hr;2013-03-26;3;6;1
;Lovro;Lučić;llucic@ingenii.hr;2011-05-05;3;6;1
;Borna;Mihaljević;bmihaljevic@ingenii.hr;2013-03-14;3;6;1
;Noa;Ilić;nilic@ingenii.hr;2019-02-18;4;7;1
;Roko;Tadić;rtadic@ingenii.hr;2016-10-25;2;7;1
;Lukas;Posavec;lposavec@ingenii.hr;2015-04-29;3;7;1
;Nikola;Jerković;njerkovic@ingenii.hr;2017-12-22;4;7;1
;Patrik;Marinović;pmarinovic@ingenii.hr;2011-09-13;3;7;1
;Šimun;Ivanković;sivankovic@ingenii.hr;2010-11-07;4;7;1
;Tin;Mikulić;tmikulic@ingenii.hr;2017-04-27;5;7;1
;Teo;Šimunović;tsimunovic@ingenii.hr;2016-11-05;3;7;1
;Viktor;Ivančić;vivancic@ingenii.hr;2012-12-08;3;7;1
;Leo;Poljak;lpoljak@ingenii.hr;2015-02-11;3;7;1
;Rafael;Jovanović;rjovanovic@ingenii.hr;2018-06-17;4;8;1
;Adrian;Herceg;aherceg@ingenii.hr;2011-11-06;2;8;1
;Andrej;Marjanović;amarjanovic@ingenii.hr;2014-05-15;5;8;1
;Juraj;Milić;jmilic@ingenii.hr;2014-06-22;3;8;1
;Gabrijel;Vidaković;gvidakovic@ingenii.hr;2015-07-27;3;8;1
